{x: 0, D0y: 0.0, lstY[0]: 150.0, t: 0.0}
{x: 40, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 41, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 42, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 43, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 44, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 45, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 46, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 47, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 48, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 49, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 50, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 51, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 52, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 53, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 54, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 55, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 56, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 57, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 58, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 59, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 60, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 61, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 62, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 63, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 64, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 65, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 66, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 67, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 68, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 69, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 70, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 71, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 72, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 73, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 74, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 75, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 76, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 77, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 78, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 79, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 80, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 81, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 82, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 83, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 84, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 85, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 86, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 87, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 88, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 89, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 90, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 91, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 92, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 93, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 94, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 95, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 96, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 97, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 98, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 99, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 100, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 101, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 102, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 103, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 104, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 105, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 106, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
